product_number,score
5100141444482194,2
5100136035476142,10
5100148070294587,1
5100133454026508,8
5100178236803880,3
5100140102378546,9
5100175497684454,3
5100144154178960,7
5100143716855230,5
5100172737751284,4
5100136435344635,4
5100175854119409,7
5100176059539193,6
5100131591657011,10
5100173919196082,7
5100130003850628,0
5100172538567152,10
5100134458786071,6
5100143509026924,5
5100140553753288,9
5100140713963710,1
5100174100138222,1
5100133759460212,5
5100147108134542,3
5100135736184724,2
5100134495803228,0
5100149547934623,7
5100145287738802,8
5100143342926116,3
5100176843773819,5
5100132678004333,10
5100149528096608,1
5100134820916307,7
5100139171504008,1
5100170292589040,0
5100179457607877,9
5100131306731994,2
5100141101316677,8
5100177720106768,9
5100174290682393,10
5100136474971488,2
