product_number,score
5100131306731994,3
5100145287738802,10
5100177720106768,0
5100147108134542,9
5100133759460212,8
5100176059539193,1
5100135736184724,2
5100143342926116,5
5100174100138222,0
5100143509026924,7
5100130003850628,5
5100175854119409,7
5100136035476142,2
5100131591657011,2
5100178236803880,4
5100141444482194,8
5100143716855230,10
5100141101316677,9
5100170292589040,7
5100136474971488,4
5100140102378546,3
5100179457607877,6
5100176843773819,10
5100132678004333,6
5100134820916307,5
5100172538567152,1
5100139171504008,10
5100133454026508,9
5100174290682393,8
5100140713963710,1
5100172737751284,5
5100175497684454,10
5100140553753288,2
5100136435344635,1
5100149547934623,3
5100149528096608,9
5100134458786071,1
5100144154178960,7
5100148070294587,0
5100134495803228,7
5100173919196082,3
