product_number,store,taste
5100148070294587,Twitterbeat,Lamb Tenderloin Nz Fr
5100176059539193,Janyx,Appetizer - Tarragon Chicken
5100134495803228,Fivespan,Tobasco Sauce
5100144154178960,Dynazzy,Milk - Skim
5100130003850628,Rooxo,"Potatoes - Instant, Mashed"
5100143509026924,Fivebridge,Capon - Whole
5100177720106768,Voonix,Veal - Loin
5100175497684454,Blogpad,"Pepper - Black, Ground"
5100147108134542,Demizz,"Cake Circle, Paprus"
5100139171504008,Shuffledrive,"Syrup - Monin, Amaretta"
5100178236803880,Photojam,Ice Cream - Life Savers
5100149528096608,Edgetag,Potatoes - Fingerling 4 Oz
5100132678004333,Avavee,Butter Balls Salted
5100172737751284,Aimbo,Wine - Casillero Del Diablo
5100145287738802,Trupe,Cheese - Le Cru Du Clocher
5100136474971488,Livefish,Flour - Semolina
5100136035476142,Skiba,Table Cloth 62x114 Colour
5100170292589040,Meeveo,Creamers - 10%
5100149547934623,Dabshots,Ecolab - Hobart Upr Prewash Arm
5100176843773819,Kwimbee,Chocolate Bar - Smarties
5100179457607877,Jabberbean,Mayonnaise
5100141444482194,Quimba,"Nut - Peanut, Roasted"
5100136435344635,Divanoodle,Tea - English Breakfast
5100143716855230,Jaxworks,Lettuce - California Mix
5100131591657011,Meembee,Wine - Soave Folonari
5100175854119409,Shuffledrive,Kellogs All Bran Bars
5100140713963710,Leenti,Chocolate - Milk
5100134820916307,Lajo,Appetizer - Seafood Assortment
5100141101316677,Yata,Wine - Dubouef Macon - Villages
5100133759460212,Thoughtmix,Potatoes - Idaho 80 Count
5100140553753288,Innojam,Table Cloth 54x54 Colour
5100174290682393,Yacero,Ham - Procutinni
5100173919196082,Babbleset,"Crush - Orange, 355ml"
5100131306731994,Quamba,"Lid - 10,12,16 Oz"
5100135736184724,Skidoo,"Sprite, Diet - 355ml"
5100140102378546,Ntag,Table Cloth 62x120 White
5100143342926116,Yamia,Rice Wine - Aji Mirin
5100134458786071,Skilith,Juice - Ocean Spray Cranberry
5100172538567152,Wikido,Pate - Peppercorn
5100174100138222,Meevee,Truffle - Whole Black Peeled
5100133454026508,Yadel,"Beans - Kidney, Canned"
