product_number,adress
5100176843773819,$6.16
5100144154178960,$8.55
5100170292589040,$5.59
5100141101316677,$2.60
5100134458786071,$1.54
5100177720106768,$7.52
5100178236803880,$5.66
5100149547934623,$3.05
5100174100138222,$1.75
5100136435344635,$3.91
5100172538567152,$2.48
5100134495803228,$3.96
5100136035476142,$1.08
5100136474971488,$9.76
5100174290682393,$6.10
5100147108134542,$2.92
5100175497684454,$1.32
5100175854119409,$2.95
5100139171504008,$3.29
5100176059539193,$9.00
5100131306731994,$8.44
5100133759460212,$4.71
5100143342926116,$7.65
5100145287738802,$6.05
5100134820916307,$3.42
5100140102378546,$6.56
5100143716855230,$9.25
5100141444482194,$2.87
5100132678004333,$5.10
5100135736184724,$2.49
5100172737751284,$9.16
5100140553753288,$5.76
5100179457607877,$5.97
5100130003850628,$7.26
5100140713963710,$7.53
5100143509026924,$3.47
5100173919196082,$7.27
5100148070294587,$6.58
5100133454026508,$6.32
5100131591657011,$8.64
5100149528096608,$5.36
