store.name,product_number,price
Jetpulse,5100175854119409,$2.95
Dynabox,5100130003850628,$7.26
Zazio,5100143716855230,$9.25
Yodo,5100172538567152,$2.48
Eire,5100139171504008,$3.29
Leexo,5100133454026508,$6.32
Pixope,5100132678004333,$5.10
Rhycero,5100135736184724,$2.49
Shuffledrive,5100176059539193,$9.00
Teklist,5100136035476142,$1.08
Wordtune,5100144154178960,$8.55
Browsetype,5100172737751284,$9.16
Rhynyx,5100173919196082,$7.27
Tagtune,5100174100138222,$1.75
Abatz,5100143342926116,$7.65
Roomm,5100143509026924,$3.47
Devcast,5100133759460212,$4.71
Yacero,5100136435344635,$3.91
Linkbridge,5100136474971488,$9.76
Wikizz,5100147108134542,$2.92
Tagpad,5100140713963710,$7.53
Photobug,5100179457607877,$5.97
Kwimbee,5100178236803880,$5.66
Skajo,5100145287738802,$6.05
Dazzlesphere,5100170292589040,$5.59
Divanoodle,5100176843773819,$6.16
Tagtune,5100134495803228,$3.96
Quaxo,5100140553753288,$5.76
Fadeo,5100148070294587,$6.58
Demimbu,5100140102378546,$6.56
Eadel,5100131591657011,$8.64
Trunyx,5100175497684454,$1.32
Pixope,5100141444482194,$2.87
Gabcube,5100131306731994,$8.44
Shuffledrive,5100174290682393,$6.10
Skyndu,5100149547934623,$3.05
Flipstorm,5100141101316677,$2.60
Eidel,5100149528096608,$5.36
Wordware,5100177720106768,$7.52
Rhycero,5100134458786071,$1.54
Brainsphere,5100134820916307,$3.42
