time,date,pay
5:37:05,2021-04-13,40.07
23:03:40,2021-03-28,202.34
22:32:11,2021-09-20,350.14
12:24:25,2021-09-10,291.83
11:34:45,2021-11-16,207.91
6:10:16,2021-12-22,328.03
14:08:56,2021-08-03,288.29
11:41:40,2021-12-31,497.51
4:02:41,2021-08-04,248.28
6:30:53,2022-03-06,281.5
8:43:42,2021-09-30,377.53
22:39:17,2021-05-11,482.39
17:24:11,2021-03-19,385.54
6:24:57,2021-08-17,87.23
2:51:40,2022-01-04,126.65
13:23:22,2021-04-13,158.47
15:33:12,2022-01-22,198.22
10:31:41,2021-07-28,322.84
3:35:36,2021-09-22,199.19
18:10:37,2022-01-24,424.98
7:06:07,2021-06-08,78.33
3:23:44,2022-01-20,116.97
9:17:08,2022-02-24,427.63
9:34:51,2021-07-15,22.01
1:49:07,2021-06-28,198.57
19:49:32,2022-01-04,304.36
3:49:59,2021-08-04,399.95
4:15:47,2021-05-26,21.18
7:30:46,2021-12-17,401.28
1:28:52,2021-11-14,280.5
19:27:26,2021-12-25,33.99
16:26:34,2021-03-18,292.14
17:01:09,2022-01-04,395.74
4:17:48,2022-01-24,462.83
10:04:44,2021-03-27,390.43
9:08:40,2021-07-26,118.85
2:56:09,2021-07-15,52.41
9:21:01,2021-07-18,144.65
8:38:58,2021-08-27,247.82
4:51:58,2021-04-29,176.24
11:29:09,2021-04-01,135.82
17:22:19,2021-09-19,232.63
15:23:36,2021-12-09,119.91
20:34:36,2021-11-08,59.39
12:51:16,2021-05-22,416.04
13:09:54,2021-05-10,186.57
16:10:25,2021-05-16,55.26
7:38:50,2021-05-17,297.88
4:17:11,2021-09-01,98.66
11:19:15,2021-08-17,303.94
3:59:38,2022-01-11,372.89
19:04:34,2022-02-17,437.25
23:06:33,2021-08-01,186.59
11:06:05,2021-06-25,433.42
1:24:05,2021-09-18,248.0
11:55:09,2021-06-05,56.48
23:35:37,2021-06-25,284.29
14:52:25,2021-10-03,351.31
22:13:35,2021-07-08,425.47
18:23:56,2021-12-07,343.52
19:17:37,2021-06-06,475.61
23:23:59,2021-08-17,301.47
22:14:55,2021-04-08,57.38
19:01:13,2021-11-05,432.27
21:48:24,2021-09-28,241.81
8:31:55,2021-07-19,70.25
10:12:35,2021-03-18,61.18
13:11:26,2021-06-08,483.73
6:01:25,2022-03-06,286.67
13:17:13,2021-12-23,487.9
20:15:24,2021-04-02,305.95
7:55:04,2021-12-24,277.57
2:21:48,2021-04-30,496.63
18:45:49,2021-10-26,35.73
8:37:53,2021-11-02,415.54
23:17:14,2021-10-09,375.68
7:30:19,2021-10-09,245.56
14:13:10,2021-10-11,356.47
13:00:35,2021-08-18,458.87
2:24:40,2021-08-27,410.76
23:14:04,2021-03-24,178.25
10:40:46,2022-01-08,212.14
9:08:37,2022-01-11,90.64
9:07:27,2021-06-01,460.27
