product_number,company,taste
5100148070294587,Marabou,Mintkrokant
5100176059539193,Marabou,Apelsinkrokant
5100134495803228,Marabou,Popcorn
5100144154178960,Marabou,Salta mandlar
5100130003850628,Marabou,Japp
5100143509026924,Marabou,Oreo
5100177720106768,Marabou,Pistage
5100175497684454,Marabou,Mjölkchoklad
5100147108134542,Marabou,Aladdin
5100134458786071,Marabou,Frukt och mandel
5100172538567152,Marabou,Helnöt
5100139171504008,Marabou,Paradis
5100137483647388,Marabou,Fudge och Havssalt
5100178236803880,Ica Basic,Mjölkchoklad
5100174100138222,Ica Basic,Mörkchoklad
5100133454026508,Ica Basic,Hasselnöt
5100149528096608,Milka,Mjölkchoklad Oreo Choco
5100132678004333,Milka,Caramel
5100172737751284,Milka,Daim
5100145287738802,Milka,Choco Jelly
5100136474971488,Milka,Hasselnöt
5100133759460212,Milka,White Chocolate
5100143342926116,Milka,Mjölkchoklad
5100170292589040,Anthon Berg,Plommon i Maderia
5100149547934623,Anthon Berg,Jordgubb i Champange
5100176843773819,Anthon Berg,Hjärtformad Guldask
5100179457607877,Nestle,After Eight
5100141444482194,Nestle,KitKat
5100136435344635,Nestle,Smarties
5100143716855230,Lindt,EXCELLENCE Salty Liquorice
5100131591657011,Lindt,EXELLENCE Intense Pink Grapefruit Bar
5100175854119409,Lindt,EXELLENCE Intense Fig Bar
5100136035476142,Lindt,LINDOR praliner
5100140713963710,Lindt,LINDOR Mini Eggs Milk
5100134820916307,Lindt,LINDOR Double Chocolate Bag
5100141101316677,Lindt,LINDOR Assorted Bag
5100140553753288,Ritter Sport,Marzipan
5100174290682393,Ritter Sport,Joghurt
5100173919196082,Ritter Sport,Kokos
5100131306731994,Ritter Sport,Honung-Salt-Mandel
5100135736184724,Ritter Sport,Kakao Mousse
5100140102378546,Ritter Sport,Mandel Apelsin
