store.name,product_number,price
Skyndu,5100149528096608,25.61
Shuffledrive,5100172538567152,86.33
Linkbridge,5100131591657011,41.91
Jetpulse,5100175497684454,26.81
Coop Växjö Emil Lindells Väg,5100148070294587,88.78
Pixope,5100170292589040,56.24
Linkbridge,5100131306731994,85.08
Lidle Teleborg,5100174100138222,93.85
Rhynyx,5100143342926116,96.49
Rhycero,5100134820916307,96.22
city Gross Växjö,5100133454026508,89.14
Zazio,5100140102378546,93.68
Demimbu,5100143342926116,30.31
Photobug,5100141444482194,41.49
Tagtune,5100148070294587,70.81
Willy:s Teleborg,5100134820916307,45.13
Tagtune,5100134495803228,74.94
Trunyx,5100136474971488,56.69
Divanoodle,5100170292589040,88.05
Dazzlesphere,5100133454026508,29.06
Shuffledrive,5100176059539193,90.11
Tagtune,5100175497684454,23.8
Gabcube,5100140553753288,96.18
Gabcube,5100143509026924,69.91
Ica Kvantum Teleborg,5100132678004333,43.69
Yodo,5100136474971488,81.52
Skyndu,5100176843773819,78.89
Ica Kvantum Teleborg,5100147108134542,50.41
Brainsphere,5100134458786071,50.28
Trunyx,5100177720106768,41.23
Photobug,5100145287738802,18.63
Wordware,5100178236803880,76.96
Wordtune,5100141444482194,99.81
Dazzlesphere,5100174290682393,51.82
Lidle Teleborg,5100139171504008,54.45
Jetpulse,5100130003850628,73.65
Skajo,5100140713963710,21.91
Yodo,5100177720106768,91.49
Willy:s Teleborg,5100173919196082,37.28
Coop Växjö Emil Lindells Väg,5100134495803228,36.17
Brainsphere,5100144154178960,49.82
Flipstorm,5100140102378546,71.7
Rhycero,5100173919196082,53.69
Divanoodle,5100172737751284,32.32
Wordware,5100149547934623,77.88
Ica Nära Norviken,5100139171504008,49.72
ICA Maxi Supermarket Sommarkand,5100172538567152,63.03
Dynabox,5100131306731994,92.9
Tagtune,5100130003850628,94.76
Quaxo,5100133759460212,50.06
Wikizz,5100176059539193,36.01
Teklist,5100140713963710,87.57
Pixope,5100172737751284,98.57
Zazio,5100141101316677,87.55
Eidel,5100135736184724,74.84
Flipstorm,5100141101316677,15.52
Ica Nära Norviken,5100174100138222,35.91
Kwimbee,5100143509026924,57.09
Kwimbee,5100140553753288,60.14
Shuffledrive,5100136435344635,21.79
Wikizz,5100136035476142,25.0
Browsetype,5100179457607877,39.88
Leexo,5100175854119409,18.73
Shuffledrive,5100136035476142,22.86
Skajo,5100137483647388,61.75
Leexo,5100179457607877,15.14
Fadeo,5100147108134542,46.43
Dynabox,5100131591657011,43.42
Quaxo,5100135736184724,66.42
Rhycero,5100149547934623,93.59
city Gross Växjö,5100174290682393,28.99
Eire,5100176843773819,48.1
Browsetype,5100175854119409,98.64
Rhynyx,5100143716855230,60.05
ICA Maxi Supermarket Sommarkand,5100136435344635,48.06
Fadeo,5100132678004333,15.11
Rhycero,5100178236803880,37.67
Teklist,5100137483647388,91.5
Wordtune,5100145287738802,28.97
Eire,5100149528096608,90.89
Eidel,5100133759460212,78.34
Demimbu,5100143716855230,23.79
