personal_code,product_number,score
2019-01-01-0027,5100177720106768,10
2019-01-01-0027,5100175854119409,9
2019-01-01-0027,5100175497684454,6
2019-01-01-0027,5100174290682393,7
2019-01-01-0027,5100173919196082,10
2019-01-01-0027,5100172737751284,1
2019-01-01-0027,5100172538567152,10
2019-01-01-0027,5100149528096608,3
2019-01-01-0027,5100145287738802,10
2019-01-01-0027,5100144154178960,8
2019-01-01-0027,5100143716855230,7
2019-01-01-0027,5100143342926116,7
2019-01-01-0027,5100141444482194,0
2019-01-01-0027,5100137483647388,10
2019-01-01-0027,5100136435344635,1
2019-01-01-0027,5100134820916307,10
2019-01-01-0027,5100134495803228,8
2019-01-01-0027,5100134458786071,2
2019-01-01-0027,5100132678004333,4
2019-01-01-0027,5100131591657011,4
2017-10-30-0035,5100179457607877,1
2017-10-30-0035,5100178236803880,10
2017-10-30-0035,5100177720106768,10
2017-10-30-0035,5100176843773819,0
2017-10-30-0035,5100175854119409,0
2017-10-30-0035,5100175497684454,1
2017-10-30-0035,5100173919196082,10
2017-10-30-0035,5100172538567152,7
2017-10-30-0035,5100149547934623,1
2017-10-30-0035,5100144154178960,10
2017-10-30-0035,5100143716855230,5
2017-10-30-0035,5100140102378546,8
2017-10-30-0035,5100136435344635,0
2017-10-30-0035,5100135736184724,3
2017-10-30-0035,5100134495803228,1
2017-10-30-0035,5100133759460212,10
2017-10-30-0035,5100133454026508,8
2017-10-30-0035,5100131306731994,10
2017-10-30-0035,5100130003850628,1
2016-11-14-0038,5100179457607877,8
2016-11-14-0038,5100176843773819,10
2016-11-14-0038,5100176059539193,1
2016-11-14-0038,5100175854119409,4
2016-11-14-0038,5100175497684454,7
2016-11-14-0038,5100174290682393,8
2016-11-14-0038,5100170292589040,7
2016-11-14-0038,5100149547934623,4
2016-11-14-0038,5100148070294587,10
2016-11-14-0038,5100145287738802,6
2016-11-14-0038,5100143509026924,7
2016-11-14-0038,5100141444482194,10
2016-11-14-0038,5100140713963710,1
2016-11-14-0038,5100140553753288,1
2016-11-14-0038,5100139171504008,7
2016-11-14-0038,5100136435344635,8
2016-11-14-0038,5100135736184724,0
2016-11-14-0038,5100134495803228,8
2016-11-14-0038,5100132678004333,6
2016-11-14-0038,5100131591657011,6
2016-11-14-0038,5100131306731994,8
2015-09-17-0003,5100176843773819,4
2015-09-17-0003,5100176059539193,9
2015-09-17-0003,5100174290682393,1
2015-09-17-0003,5100174100138222,10
2015-09-17-0003,5100172737751284,1
2015-09-17-0003,5100147108134542,8
2015-09-17-0003,5100144154178960,10
2015-09-17-0003,5100143342926116,1
2015-09-17-0003,5100141444482194,5
2015-09-17-0003,5100141101316677,1
2015-09-17-0003,5100140102378546,0
2015-09-17-0003,5100139171504008,1
2015-09-17-0003,5100136435344635,10
2015-09-17-0003,5100136035476142,6
2015-09-17-0003,5100135736184724,10
2015-09-17-0003,5100131306731994,7
2015-09-17-0003,5100130003850628,6
2014-10-01-0040,5100179457607877,4
2014-10-01-0040,5100177720106768,10
2014-10-01-0040,5100176059539193,0
2014-10-01-0040,5100175854119409,0
2014-10-01-0040,5100175497684454,10
2014-10-01-0040,5100172737751284,3
2014-10-01-0040,5100172538567152,4
2014-10-01-0040,5100149547934623,4
2014-10-01-0040,5100149528096608,7
2014-10-01-0040,5100144154178960,9
2014-10-01-0040,5100143342926116,1
2014-10-01-0040,5100140713963710,8
2014-10-01-0040,5100136474971488,1
2014-10-01-0040,5100136035476142,10
2014-10-01-0040,5100134820916307,1
2014-10-01-0040,5100134495803228,4
2014-10-01-0040,5100134458786071,7
2014-10-01-0040,5100130003850628,7
2013-10-29-0031,5100177720106768,4
2013-10-29-0031,5100173919196082,4
2013-10-29-0031,5100172737751284,4
2013-10-29-0031,5100170292589040,7
2013-10-29-0031,5100149528096608,8
2013-10-29-0031,5100148070294587,5
2013-10-29-0031,5100144154178960,7
2013-10-29-0031,5100143509026924,2
2013-10-29-0031,5100141444482194,10
2013-10-29-0031,5100140553753288,7
2013-10-29-0031,5100140102378546,4
2013-10-29-0031,5100136435344635,6
2013-10-29-0031,5100136035476142,4
2013-10-29-0031,5100135736184724,7
2013-10-29-0031,5100134820916307,6
2013-10-29-0031,5100134458786071,7
2013-10-29-0031,5100133454026508,0
2008-07-26-0019,5100178236803880,2
2008-07-26-0019,5100177720106768,9
2008-07-26-0019,5100176059539193,9
2008-07-26-0019,5100175854119409,0
2008-07-26-0019,5100175497684454,8
2008-07-26-0019,5100174290682393,1
2008-07-26-0019,5100174100138222,0
2008-07-26-0019,5100173919196082,7
2008-07-26-0019,5100170292589040,5
2008-07-26-0019,5100149547934623,4
2008-07-26-0019,5100148070294587,5
2008-07-26-0019,5100147108134542,7
2008-07-26-0019,5100145287738802,6
2008-07-26-0019,5100143509026924,6
2008-07-26-0019,5100136474971488,6
2008-07-26-0019,5100136435344635,3
2008-07-26-0019,5100136035476142,3
2008-07-26-0019,5100134820916307,7
2008-07-26-0019,5100134458786071,1
2008-07-26-0019,5100133759460212,8
2008-07-26-0019,5100131591657011,0
2008-07-26-0019,5100130003850628,1
2008-03-04-0007,5100178236803880,4
2008-03-04-0007,5100176059539193,4
2008-03-04-0007,5100175497684454,4
2008-03-04-0007,5100172737751284,6
2008-03-04-0007,5100149547934623,0
2008-03-04-0007,5100148070294587,10
2008-03-04-0007,5100147108134542,8
2008-03-04-0007,5100145287738802,10
2008-03-04-0007,5100143716855230,1
2008-03-04-0007,5100137483647388,4
2008-03-04-0007,5100136474971488,0
2008-03-04-0007,5100136435344635,4
2008-03-04-0007,5100136035476142,6
2008-03-04-0007,5100134495803228,7
